scholar_cat,journal_name
eng_artificialintelligence,Neurocomputing
eng_artificialintelligence,Neural Networks
eng_artificialintelligence,Applied Soft Computing
eng_artificialintelligence,Knowledge Based Systems
eng_artificialintelligence,Robotics and Autonomous Systems
eng_artificialintelligence,Expert Systems With Applications
eng_artificialintelligence,Neural Computing and Applications
eng_artificialintelligence,IEEE Transactions on Fuzzy Systems
eng_artificialintelligence,Journal of Machine Learning Research
eng_artificialintelligence,Engineering Applications of Artificial Intelligence
