index.html	Web server directory index
β diketone	2-Iodoxybenzoic acid
α helices	Alpha helix
α emitter	Bipolar junction transistor
α ketoacids	Branched-chain alpha-keto acid dehydrogenase complex
β adrenergic blockers	Beta blocker
β protein	Beta sheet
β lapachone	Sirtuin
γ hydroxybutyrate	Gamma-Hydroxybutyric acid
β elimination	Dehydrohalogenation
α 1 antitrypsin	Alpha-1 antitrypsin deficiency
β radiation	Beta particle
α particles	Alpha particle
β carboline derivatives	Beta-Carboline
γ-aminobutanoic acid	Gamma-Aminobutyric acid
γ-amino-n-butyric acid	Gamma-Aminobutyric acid
β-phenylisopropylamine	Amphetamine
# previous doses	DPT vaccine
γ-Hydroxybutyric acid	Gamma-Hydroxybutyric acid
β-propiolactone	Beta-Propiolactone
L# .NET	Net income
sports equipment	Sports equipment
franchising	Franchising
dPVS	Umbra (3D technology company)
